Movie_ratings,Movie_years,Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Budget,Revenue,Movie_ratings,Finance_Ratio,Finance_Label
6.9,2011,2.35,28,0,5,30,0,2,34,0,12,12,1,1,140000000.00,176636816.00,6.9,1.26,AVERAGE
8.8,2016,2.35,76,0,66,125,0,6,206,1,18,20,1,8,135000000.00,123207194.00,8.8,0.91,FLOP
6.6,2011,2.35,0,0,14,40,0,3,93,0,1,2,1,22,130000000.00,149234747.00,6.6,1.15,HIT
7.3,2011,2.35,54,0,7,52,0,2,68,0,0,52,3,148,135000000.00,77564037.00,7.3,0.57,FLOP
7.3,2011,2.35,35,0,5,24,0,6,42,0,14,10,0,3,125000000.00,209805005.00,7.3,1.68,AVERAGE
7.5,2011,2.35,77,0,34,80,0,7,8,0,0,16,0,8,125000000.00,186830669.00,7.5,1.49,AVERAGE
5.8,2011,2.35,95,2,74,98,0,18,36,0,3,105,1,30,120000000.00,98780042.00,5.8,0.82,FLOP
5.4,2011,1.78,14,0,0,4,0,1,26,0,0,8,0,0,110000000.00,142614158.00,5.4,1.3,AVERAGE
7.1,2011,2.35,31,0,27,10,0,0,17,0,0,27,0,4,110000000.00,85463309.00,7.1,0.78,FLOP
7.6,2011,2.35,39,1,69,15,0,6,23,0,0,22,0,112,94000000.00,9213.00,7.6,0,FLOP
7.6,2011,2.35,57,0,43,31,0,15,62,0,5,4,0,2,93000000.00,176740650.00,7.6,1.9,SUPER_HIT
7.8,2011,2.35,48,0,11,36,0,3,58,0,2,85,0,49,90000000.00,102515793.00,7.8,1.14,HIT
5.7,2011,2.35,47,0,3,16,0,5,23,0,28,11,0,2,75000000.00,20315324.00,5.7,0.27,FLOP
6.2,2011,2.35,54,0,3,17,0,21,60,0,6,48,0,6,75000000.00,78009155.00,6.2,1.04,HIT
7.1,2011,1.85,119,1,17,95,0,18,57,0,8,0,0,0,100000000.00,46440491.00,7.1,0.46,FLOP
6.4,2011,2.35,32,0,47,2,0,0,15,0,3,11,0,20,80000000.00,254455986.00,6.4,3.18,BLOCKBUSTER
4.3,2011,1.85,69,0,23,42,0,6,9,0,0,0,0,0,75000000.00,133103929.00,4.3,1.77,SUPER_HIT
6.4,2011,1.85,46,0,54,44,0,4,55,0,0,34,0,1,80000000.00,103028109.00,6.4,1.29,AVERAGE
5.2,2011,2.35,83,0,9,67,0,2,60,0,1,6,0,0,80000000.00,80360866.00,5.2,1,HIT
3.3,2011,1.85,43,1,43,46,0,48,45,0,2,34,0,1,79000000.00,74158157.00,3.3,0.94,FLOP
6,2011,1.85,13,0,3,3,0,0,30,0,0,9,0,6,75000000.00,83503161.00,6,1.11,HIT
6,2011,2.35,34,0,14,33,0,11,86,0,0,15,0,5,82000000.00,36381716.00,6,0.44,FLOP
5.7,2011,2.35,47,0,0,14,0,3,17,0,1,5,0,2,70000000.00,83552429.00,5.7,1.19,HIT
7.2,2011,2.35,1,0,1,32,0,26,80,0,9,52,3,148,66000000.00,79883359.00,7.2,1.21,HIT
5.3,2011,2.35,23,0,17,198,0,3,72,0,0,30,2,37,70000000.00,48430355.00,5.3,0.69,FLOP
