Aspect_Ratio,Movie_actor_1_credit,Actor_1_Oscar_Awards,Actor_1_Other_Awards,Movie_actor_2_credit,Actor_2_Oscar_Awards,Actor_2_Other_Awards,Movie_actor_3_credit,Actor_3_Oscar_Awards,Actor_3_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
2.35,51,0,16,80,1,38,24,0,1,7,0,15,7,0,15,5,0,5,21,0,5,35,0,4,130000000.00,5.6,CLASS-2
2.35,62,1,29,5,0,1,26,0,12,10,0,14,10,0,14,5,0,14,2,0,1,10,0,0,115000000.00,6.6,CLASS-3
2.35,99,1,57,37,0,42,78,0,6,2,0,0,2,0,0,1,0,0,0,0,10,19,1,24,120000000.00,7,CLASS-3
2.35,38,0,24,4,0,0,9,0,0,11,0,11,11,0,11,7,0,0,43,0,18,11,0,2,120000000.00,6.7,CLASS-3
2.35,51,0,16,38,1,67,66,1,44,1,0,0,1,0,0,14,0,8,72,0,43,0,0,0,135000000.00,7.2,CLASS-3
2.35,36,0,0,1,0,0,7,0,0,22,4,231,22,4,231,10,4,253,40,1,19,36,3,144,100000000.00,7.7,CLASS-4
1.85,28,0,17,27,0,2,44,0,2,9,0,0,9,0,0,13,0,0,82,0,6,51,0,3,105000000.00,5.3,CLASS-2
2.35,67,0,38,19,0,0,27,0,0,9,0,29,9,0,29,6,0,29,33,0,8,60,0,11,110000000.00,6.6,CLASS-3
2.35,41,1,82,52,1,34,57,0,8,53,1,5,53,1,5,8,0,20,0,0,16,0,3,36,100000000.00,8.2,CLASS-4
1.85,96,0,17,38,0,1,43,0,0,6,1,166,6,1,166,5,0,1,43,0,18,37,0,2,92000000.00,5.3,CLASS-2
2.35,80,0,2,73,0,0,40,0,0,14,0,0,14,0,0,7,0,0,9,0,15,42,0,10,90000000.00,7.3,CLASS-3
2.35,20,0,5,32,0,1,28,0,1,10,0,3,10,0,3,13,0,2,33,0,12,60,0,0,90000000.00,5.8,CLASS-2
