Movie_director_credit,Director_Oscar_Awards,Director_Other_Awards,Movie_writter_credit,Movie_Writter_Oscar_Awards,Music_Writter_Other_Awards,Movie_music_credit,Music_Oscar_Awards,Music_Other_Awards,Movie_cinematography_credit,Cinematograpy_Oscar_Awards,Cinematograpy_Other_Awards,Budget,Movie_ratings,IMDb_Label
33,0,1,16,0,63,21,0,12,86,0,3,80000000.00,5.9,CLASS-2
7,0,4,3,0,0,17,0,12,37,1,7,75000000.00,5.5,CLASS-2
22,3,59,4,0,0,22,0,14,37,0,16,70000000.00,6.2,CLASS-2
18,0,4,0,0,0,65,3,87,84,0,24,68000000.00,5,CLASS-1
3,0,22,7,0,1,70,0,6,14,0,0,69000000.00,7.6,CLASS-4
17,0,15,8,0,7,0,0,4,35,0,13,250000000.00,7.6,CLASS-4
50,0,9,12,0,1,31,0,8,10,0,0,200000000.00,6,CLASS-2
29,0,9,17,0,1,77,0,80,17,0,0,200000000.00,6.5,CLASS-2
13,0,19,13,0,19,6,0,3,68,1,14,200000000.00,5.8,CLASS-2
29,1,34,349,0,0,63,0,43,2,0,0,200000000.00,7.2,CLASS-3
3,0,0,5,0,8,12,0,11,8,0,1,175000000.00,6.4,CLASS-2
8,0,1,11,0,3,63,0,43,6,0,0,175000000.00,5.8,CLASS-2
25,0,4,13,0,0,63,0,43,28,0,1,150000000.00,6,CLASS-2
6,0,29,5,0,28,54,0,20,56,0,11,150000000.00,6.6,CLASS-3
27,2,37,27,0,3,87,1,121,24,0,0,150000000.00,6.7,CLASS-3
7,0,11,21,0,11,18,2,45,2,0,0,105000000.00,7.1,CLASS-3
17,0,18,10,0,1,28,1,16,61,0,19,100000000.00,7,CLASS-3
27,0,4,1,0,0,6,1,6,7,0,5,100000000.00,6.4,CLASS-2
79,1,64,9,1,64,44,0,29,28,0,2,100000000.00,6.7,CLASS-3
19,0,1,12,0,3,19,1,80,29,1,18,100000000.00,5.3,CLASS-2
16,3,124,11,3,44,18,0,8,41,1,27,65000000.00,6.7,CLASS-3
1,1,27,6,1,27,27,0,21,17,0,2,100000000.00,6.9,CLASS-3
5,0,2,2,0,0,14,0,41,21,0,0,90000000.00,6.9,CLASS-3
13,0,8,0,0,0,87,1,121,62,1,11,90000000.00,7.6,CLASS-4
